UF	Município	ID	Nº Processo	Vinculada	Termo/Nº Convênio	Ano Termo/Convênio	Programa	Fonte	Esfera	Tipologia	Situação da Obra	% Executado (Informado pelo Municípo	Última Vistoria Instituição	% Executado Empresa	Última Vistoria Empresa	Empresa realizadora da Supervisão	Restrições	Inconformidades
MT	Juruena	18848	23400001949201181	NÃO	1974	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	99.99%	15/04/2015	91.08%	02/08/2016	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
MG	Diamantina	18850	23400001387201175	NÃO	1568	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Execução	93.22%	25/08/2016	80.43%	20/10/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
GO	Abadia de Goiás	18851	23400001850201189	NÃO	1137	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	27/03/2014	99.68%	01/06/2016	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
GO	Luziânia	18853	23400000905201133	NÃO	707	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	17/07/2013	94.58%	24/05/2016	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
CE	Fortaleza	18855	23400000129201171	NÃO	894	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	01/12/2015	0.50%	27/05/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
RN	Ceará-Mirim	18856	23400000448201187	NÃO	957	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	12/04/2013	96.33%	29/05/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
PA	Breves	18857	23400000192201116	NÃO	1110	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	05/01/2015	92.67%	10/06/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
CE	Fortaleza	18858	23400000129201171	NÃO	894	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	03/03/2015	91.20%	16/01/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
GO	Senador Canedo	18860	23400000901201155	NÃO	712	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	99.54%	14/04/2015	76.69%	23/05/2014	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
BA	Senhor do Bonfim	18861	23400000152201166	NÃO	630	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	31/05/2013	100.02%	21/10/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
GO	Senador Canedo	18862	23400000901201155	NÃO	712	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	99.99%	14/05/2015	75.66%	23/05/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	NÃO
CE	Fortaleza	18863	23400000129201171	NÃO	894	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Execução	43.56%	29/07/2016	0.00%	10/08/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	NÃO
GO	Senador Canedo	18865	23400000901201155	NÃO	712	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	14/04/2015	66.19%	23/05/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	NÃO
CE	Salitre	18866	23400001548201121	NÃO	1407	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	28/12/2012	96.92%	20/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
GO	Valparaíso de Goiás	18867	23400000899201114	NÃO	827	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	14/08/2013	94.85%	24/05/2016	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
PE	Goiana	18871	23400000186201151	SIM	1114	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Execução	56.91%	14/07/2016	47.58%	24/01/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
PB	Santa Rita	18872	23400000162201100	NÃO	1112	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	23/10/2015	82.19%	24/04/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
GO	Itapirapuã	18874	23400000733201106	NÃO	1106	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	16/07/2012	100.00%	04/02/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	NÃO
PB	Santa Rita	18876	23400000162201100	NÃO	1112	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	30/06/2014	74.74%	27/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
PB	Santa Rita	18877	23400000162201100	NÃO	1112	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	12/07/2014	86.08%	24/04/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
PA	Tailândia	18878	23400000908201177	NÃO	915	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	01/12/2014	83.67%	05/11/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
RN	Extremoz	18879	23400000769201181	NÃO	942	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	30/04/2013	98.00%	30/05/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
SP	Francisco Morato	18881	23400000462201181	NÃO	986	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Inacabada	17.97%	07/07/2015	17.97%	17/12/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
SE	Itabaiana	18882	23400000454201134	NÃO	835	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	99.99%	09/03/2015	86.11%	13/04/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	NÃO
AM	Beruri	18883	23400000501201140	SIM	594	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	23/10/2015	100.00%	19/05/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
PE	Bezerros	18885	23400000401201113	NÃO	718	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	99.70%	13/10/2015	99.72%	24/10/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
SP	Atibaia	18886	23400000458201112	NÃO	962	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	15/09/2013	99.68%	07/07/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
BA	Ribeira do Pombal	18888	23400001537201141	NÃO	1261	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	03/09/2014	59.01%	17/12/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
MA	Conceição do Lago-Açu	18891	23400001340201110	NÃO	1427	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	93.97%	30/03/2016	70.89%	22/05/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
CE	Santa Quitéria	18893	23400000723201162	NÃO	916	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	13/08/2014	96.49%	22/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
MA	Lago do Junco	18896	23400000743201133	NÃO	657	2011	Quadras	PAC2	Municipal	QUADRA ESCOLAR COBERTA COM PALCO- PROJETO FNDE	Concluída	100.00%	20/01/2015	87.96%	26/04/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	NÃO
CE	Graça	18898	23400001092201107	NÃO	1402	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Execução	85.22%	17/08/2016	67.06%	16/01/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
RS	Boa Vista do Incra	18899	23400001131201168	NÃO	1343	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	20/03/2015	61.61%	03/01/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
BA	Gandu	18900	23400001411201176	SIM	1238	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Paralisada	34.88%	04/08/2016	25.57%	09/03/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
BA	Brotas de Macaúbas	18901	23400001428201123	NÃO	1351	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	03/06/2014	91.35%	10/10/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
PB	Campina Grande	18903	23400000085201180	SIM	376	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Execução	60.12%	29/08/2016	46.80%	04/02/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
GO	Paraúna	18904	23400000565201141	NÃO	500	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	28/03/2014	96.77%	05/02/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
PA	Igarapé-Miri	18906	23400000097201112	NÃO	221	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Inacabada	93.73%	05/08/2015	85.44%	10/09/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
MT	Sinop	18907	23400000430201185	NÃO	239	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Paralisada	57.18%	18/08/2016	27.70%	30/03/2016	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
RS	São Lourenço do Sul	18908	23400000654201197	SIM	351	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Contratação	48.93%		39.40%	07/03/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	NÃO
MG	Pirapora	18909	23400000116201101	NÃO	486	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Execução	91.55%	13/08/2016	91.66%	29/06/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
RN	Caraúbas	18910	23400001074201117	NÃO	1450	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Paralisada	52.06%	26/07/2016	9.44%	14/11/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Juiz de Fora	18911	23400000104201178	NÃO	11638	2013	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	25/07/2014	76.16%	11/03/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
PB	São Miguel de Taipu	18912	23400001228201171	NÃO	1675	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Inacabada	95.44%	30/07/2015	54.90%	24/09/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MT	Juara	18913	23400000927201101	NÃO	1517	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	21/05/2014	91.00%	17/12/2013	PAULO GAIGA ENGENHARIA LTDA	SIM	NÃO
MG	Jaíba	18914	23400000549201158	NÃO	467	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	07/05/2014	86.94%	01/10/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Buritis	18915	23400000088201113	NÃO	2470	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Paralisada	77.24%	14/08/2016	58.63%	22/03/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
SC	São Miguel do Oeste	18916	23400001335201107	NÃO	1301	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	92.79%	01/09/2014	92.19%	26/01/2016	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
SP	Saltinho	18917	23400000700201158	NÃO	149	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	28/02/2014	99.15%	26/08/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
RN	Vera Cruz	18919	23400000471201171	NÃO	1434	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	16/06/2015	95.27%	19/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
SP	Descalvado	18921	23400001174201143	NÃO	1255	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	13/12/2013	100.00%	30/06/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
MT	Jaciara	18922	23400000925201112	SIM	5530	2013	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Paralisada	77.31%	26/08/2016	68.16%	14/03/2016	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
RS	Canguçu	18923	23400000053201184	SIM	487	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Licitação	81.92%		60.07%	26/07/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
MG	Ouro Preto	18925	23400000110201125	NÃO	481	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	08/04/2015	69.26%	14/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
MS	Campo Grande	18926	23400000424201128	NÃO	2469	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	84.07%	03/12/2014	73.85%	17/09/2013	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
MS	Campo Grande	18927	23400000424201128	NÃO	2469	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	94.08%	08/09/2014	82.44%	31/03/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
MS	Campo Grande	18928	23400000424201128	NÃO	2469	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	99.53%	30/05/2014	100.01%	31/03/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
MS	Campo Grande	18929	23400000424201128	NÃO	2469	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	96.24%	10/10/2014	75.21%	31/03/2014	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
MS	Campo Grande	18930	23400000424201128	NÃO	2469	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	95.69%	22/07/2014	97.50%	01/04/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
MG	Careaçu	18931	23400001126201155	NÃO	1561	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	03/06/2013	97.92%	20/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
MS	Campo Grande	18932	23400000424201128	NÃO	2469	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	27/05/2015	99.99%	07/06/2016	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
MS	Campo Grande	18933	23400000424201128	NÃO	2469	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Execução	86.08%	20/07/2016	77.48%	25/04/2016	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
BA	Lajedão	18935	23400001722201135	NÃO	1926	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	23/04/2014	96.65%	18/03/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
MG	Romaria	18936	23400001279201101	NÃO	1588	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	94.84%	22/12/2015	78.51%	16/09/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MS	Campo Grande	18937	23400000424201128	NÃO	2469	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	95.36%	30/05/2014	98.37%	01/04/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
MA	Cândido Mendes	18939	23400001891201175	NÃO	1866	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Inacabada	26.82%	07/11/2014	20.51%	22/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
SC	Joinville	18940	23400000068201142	NÃO	2444	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	17/06/2015	97.98%	23/06/2015	PAULO GAIGA ENGENHARIA LTDA	NÃO	NÃO
RS	Bento Gonçalves	18941	23400000045201138	NÃO	2101	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo A	Concluída	95.33%	17/12/2013	97.93%	15/03/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
BA	Gongogi	18942	23400001731201126	SIM	1928	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Execução	66.78%	09/06/2016	25.75%	15/09/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
TO	Mateiros	18943	23400000690201151	NÃO	186	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Inacabada	74.35%	22/04/2016	66.76%	16/12/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
PI	Francisco Macedo	18944	23400001636201122	NÃO	1840	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	95.59%	04/08/2014	69.86%	02/04/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MT	Sinop	18945	23400000430201185	NÃO	239	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	18/06/2014	92.36%	20/03/2014	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
RS	Palmeira das Missões	18947	23400001931201189	NÃO	1737	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	11/02/2014	98.60%	18/03/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
BA	Esplanada	18948	23400000582201188	SIM	335	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Execução	63.20%	20/07/2016	67.44%	15/03/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
RS	Garibaldi	18950	23400000677201100	NÃO	4117	2013	PROINFÂNCIA	PAC2	Municipal	MI - Escola de Educação Infantil Tipo B	Execução	95.18%	25/08/2016	94.59%	22/09/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
MT	Vera	18951	23400000947201174	NÃO	1524	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Execução	89.43%	07/07/2016	80.44%	31/08/2015	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
MT	Poconé	18953	23400000556201150	SIM	173	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	91.17%	15/08/2016	35.60%	25/06/2015	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
ES	Afonso Cláudio	18954	23400001117201164	NÃO	1413	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	94.38%	13/08/2015	94.99%	29/07/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	NÃO
SP	Laranjal Paulista	18955	23400001194201114	NÃO	1268	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	92.34%	19/08/2015	86.83%	21/07/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
GO	Diorama	18956	23400000573201197	NÃO	469	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	30/07/2014	88.29%	03/02/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
MT	Pontal do Araguaia	18957	23400000937201139	NÃO	1522	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	94.86%	20/08/2014	90.38%	26/02/2014	PAULO GAIGA ENGENHARIA LTDA	NÃO	SIM
PB	São José dos Cordeiros	18958	23400002000201106	NÃO	2027	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	14/03/2014	91.43%	17/03/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
BA	Ibirapitanga	18959	23400001415201154	NÃO	1266	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	98.10%	16/11/2015	98.17%	02/06/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
RS	Estância Velha	18961	23400000061201121	NÃO	280	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	99.99%	22/03/2016	97.07%	26/09/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
SC	Praia Grande	18962	23400000695201183	NÃO	2457	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	95.66%	30/05/2014	67.94%	26/11/2013	PAULO GAIGA ENGENHARIA LTDA	NÃO	NÃO
MG	Belo Horizonte	18963	23400000084201135	NÃO	2447	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo A	Concluída	100.00%	15/07/2014	64.83%	21/10/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
PB	Cacimbas	18964	23400001994201135	NÃO	1856	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Execução	83.17%	08/07/2016	41.90%	21/03/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MT	Aripuanã	18965	23400001314201183	NÃO	1503	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Paralisada	72.20%	13/07/2016	66.00%	02/08/2016	PAULO GAIGA ENGENHARIA LTDA	SIM	SIM
MG	Aimorés	18966	23400000529201187	SIM	508	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Execução	93.95%	15/08/2016	65.33%	03/07/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
BA	Lajedinho	18967	23400000859201172	NÃO	1246	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	94.94%	04/06/2014	92.16%	18/11/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
BA	Amélia Rodrigues	18968	23400001414201118	NÃO	1293	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	94.05%	14/08/2014	69.18%	18/03/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
PE	Toritama	18970	23400001047201144	SIM	1159	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Execução	90.13%	07/07/2016	45.29%	28/04/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
MG	Jequitaí	18971	23400001909201139	NÃO	1787	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	22/11/2013	87.27%	20/09/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
BA	Ipirá	18973	23400000213201195	NÃO	357	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	27/03/2014	93.36%	14/11/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
TO	Colméia	18974	23400001181201145	NÃO	1196	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	10/09/2014	87.81%	31/03/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
BA	Urandi	18975	23400001104201195	NÃO	1723	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	30/05/2014	78.20%	26/02/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
RS	Nova Petrópolis	18976	23400000642201162	NÃO	296	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	11/07/2014	34.43%	06/11/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
SP	Nova Odessa	18978	23400000372201190	SIM	2456	2012	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo A	Execução	65.42%	10/08/2016	22.04%	27/10/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
MG	Lagoa dos Patos	18979	23400000551201127	NÃO	470	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	26/02/2014	87.01%	20/09/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
MG	Santa Vitória	18980	23400000526201143	NÃO	494	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo B	Concluída	96.04%	04/08/2014	85.24%	18/02/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
RS	Restinga Seca	18981	23400000648201130	NÃO	318	2011	PROINFÂNCIA	PAC2	Municipal	Escola de Educação Infantil Tipo C	Concluída	100.00%	06/03/2013	99.12%	25/06/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
